,Unnamed: 0,Star_name,Mass,Radius,Unnamed: 6,Star_name.1,Distance.1,solar_radius,solar_mass
0,0,Sun,1,1,0,SDSS J000013.54+255418.6 [de],46.1,0.10173537,0.045820224
1,1,Sirius,2.1,1.71,1,2MASS J08283419-1309198,,0.0,0.0
2,2,Canopus,15,71,2,2MASS J00040288-6410358,192.0,0.16750369,0.018137172
3,3,Alpha Centauri,1.1,1.2,3,LHS 102BC,,0.0,0.0
4,4,Arcturus,1.1,26,4,2MASS J00242463-0158201,37.7,0.11201167,0.075412452
5,5,Vega,2.2,2.7,5,2MASS J00250365+4759191AB,143.0,0.0,0.0
6,6,Capella,2.6,12,6,2MASS J00274197+0503417,236.0,0.14797872,0.029592228
7,7,Rigel,23,78.9,7,2MASS J00275592+2219328,46.9,0.0,0.0
8,8,Procyon,1.5,1.9,8,2MASSW J0030300-145033,87.2,0.10070774,0.051547752
9,9,Betelgeuse,20,950,9,2MASS J00332386-1521309 [de],131.0,0.14695109,0.027683052
10,10,Achernar,6.7,9.3,10,2MASS J00345157+0523050,31.0,0.09659722,0.040092696
11,11,Hadar,10.5,8.6,11,2MASS 0036+1821,28.6,0.09659722,0.040092696
12,12,Altair,1.8,1.8,12,2MASSW J0045214+163445,57.0,0.16647606,0.021955524
13,13,Acrux,18,8.9,13,WISEP J004701.06+680352.1 [fr],40.0,0.1335919,0.011455056
14,14,Aldebaran,1.5,44,14,2MASS J00501994-3322402 [de],34.0,0.09659722,0.03818352
15,15,Antares,12,680,15,2MASS J00034227-2822410,,0.0,0.0
16,16,Spica,11.43,7.47,16,2MASS J00584253-0651239 [de],96.0,0.14695109,0.027683052
17,17,Pollux,1.9,8.8,17,CFBDS J005910.90–011401.3,30.0,0.0,0.021955524
18,18,Fomalhaut,1.9,1.8,18,2MASSI J0103320+193536,70.0,0.10070774,0.049638576
19,19,Deneb,19,203,19,SDSSp J010752.33+004156.1 [de],51.0,0.10070774,0.049638576
20,20,Mimosa,16,8.4,20,2MASSI J0117474-340325 [de],163.0,0.16647606,0.01909176
21,21,Regulus,3.8,3.1,21,2MASS J01415823-4633574 [de],130.0,0.16544843,0.01909176
22,22,Adhara,12.5,14,22,SDSS J015141.69+124429.6,70.0,0.09968011,0.044865636
23,23,Shaula,14.5,8.8,23,DENIS-P J020529.0−115925A,65.0,0.0,0.0
24,24,Castor,2.8,2.4,24,DENIS-P J020529.0−115925B,65.0,0.0,0.0
25,25,Gacrux,1.5,84,25,DENIS-P J020529.0−115925C,65.0,0.0,0.0
26,26,Bellatrix,8.6,5.8,26,SDSS J020742.48+000056.2 [de],111.0,0.09968011,0.044865636
27,27,Elnath,5.0,4.2,27,2MASS J02103857-3015313,101.0,0.15722739,0.01431882
28,28,Miaplacidus,3.5,6.8,28,2MASS J02340093-6442068,155.0,0.16647606,0.01909176
29,29,Alnilam,32,42,29,2MASS J02411151-0326587 [de],152.0,0.14489583,0.025773876
30,30,Gamma Velorum,9.0,6,30,2MASS J02431371−2453298,35.0,0.10173537,0.031501404
31,31,Alnair,4.0,3.4,31,LP 771-21,53.0,0.11098404,0.074457864
32,32,Alioth,2.9,4.2,32,2MASS J02511327+0047364,,0.0,0.0
33,33,Alnitak,33,20,33,Teegarden's star,12.578,0.13050901,0.07636704
34,34,Dubhe,4.25,30,34,2MASS J02535980+3206373,184.0,0.1952497,0.06204822
35,35,Mirfak,8.5,68,35,WISE J0254+0223,24.0,0.1952497,0.06204822
36,36,Wezen,17,200,36,DEN 0255-4700,16.2,0.09968011,0.07636704
37,37,Sargas,5.7,26,37,2MASS J03185403-3421292 [de],45.0,0.09968011,0.046774812
38,38,Kaus Australis,3.5,6.8,38,2MASS J03205965+1854233,47.0,0.11817745,0.084003744
39,39,Avior,9.0,130,39,2MASS J03231002-4631237,192.0,0.17058658,0.021955524
40,40,Alkaid,6.1,3.4,40,SDSS J032553.17+042540.1,59.0,0.09762485,0.04295646
41,41,Menkalinan,2.39,2.77,41,2MASS J03264225-2102057 [de],80.0,0.1335919,0.017182584
42,42,Atria,7,92,42,2MASS J03284265+2302051 [de],98.0,0.10070774,0.051547752
43,43,Alhena,2.8,3.3,43,2MASS J03341218-4953322,27.0,0.10687352,0.069684924
44,44,Peacock,5.9,4.8,44,LP 944-20,20.9,0.14695109,0.069684924
45,45,Alsephina[2],2.4,2.9,45,2MASP J0345432+254023,88.0,0.10790115,0.070639512
